GameStopID,GameTitle,ValueInfo1,ImgLink,Listing Url
129536,Resident Evil 5 HD,$7.20*,https://www.gamestop.com/common/images/lbox/124457b.jpg,https://www.gamestop.com/trade/quote/games/129536
129625,Pokemon Blue Version,$7.20*,https://www.gamestop.com/common/images/lbox/123007b.jpg,https://www.gamestop.com/trade/quote/games/129625
129627,Pokemon Red Version,$7.20*,https://www.gamestop.com/common/images/lbox/123009b.jpg,https://www.gamestop.com/trade/quote/games/129627
129634,Brunswick Pro Bowling,$7.20*,https://www.gamestop.com/common/images/lbox/123669b.jpg,https://www.gamestop.com/trade/quote/games/129634
129971,Psycho Pass: Mandatory Happiness,$7.20*,https://www.gamestop.com/common/images/lbox/124984b.jpg,https://www.gamestop.com/trade/quote/games/129971
129987,Dark Souls III,$7.20*,https://www.gamestop.com/common/images/lbox/124022b.jpg,https://www.gamestop.com/trade/quote/games/129987
130454,Hatsune Miku: Project DIVA X,$7.20*,https://www.gamestop.com/common/images/lbox/125860b.jpg,https://www.gamestop.com/trade/quote/games/130454
130537,Ori and the Blind Forest Definitive Edition,$7.20*,https://www.gamestop.com/common/images/lbox/125991b.jpg,https://www.gamestop.com/trade/quote/games/130537
131289,The Legend of Zelda: Link's Awakening DX,$7.20*,https://www.gamestop.com/common/images/lbox/122999b.jpg,https://www.gamestop.com/trade/quote/games/131289
131818,Worms W.M.D. All Stars,$7.20*,https://www.gamestop.com/common/images/lbox/127839b1.jpg,https://www.gamestop.com/trade/quote/games/131818
132080,Prey,$7.20*,https://www.gamestop.com/common/images/lbox/128173b.jpg,https://www.gamestop.com/trade/quote/games/132080
132081,Prey,$7.20*,https://www.gamestop.com/common/images/lbox/128174b.jpg,https://www.gamestop.com/trade/quote/games/132081
132777,Akiba's Beat,$7.20*,https://www.gamestop.com/common/images/lbox/129124brp.jpg,https://www.gamestop.com/trade/quote/games/132777
133623,Disney 2 Pack: Frozen Olaf's Quest and Big Hero 6,$7.20*,https://www.gamestop.com/common/images/lbox/130449b.jpg,https://www.gamestop.com/trade/quote/games/133623
133873,Dead Rising 2 HD,$7.20*,https://www.gamestop.com/common/images/lbox/130816b.jpg,https://www.gamestop.com/trade/quote/games/133873
134042,Prototype: Biohazard Bundle - Only at GameStop,$7.20*,https://www.gamestop.com/common/images/lbox/130997b.jpg,https://www.gamestop.com/trade/quote/games/134042
138275,MLB The Show 17,$7.20*,https://www.gamestop.com/common/images/lbox/136479b.jpg,https://www.gamestop.com/trade/quote/games/138275
140201,Torment: Tides Of Numenera,$7.20*,https://www.gamestop.com/common/images/lbox/139224b.jpg,https://www.gamestop.com/trade/quote/games/140201
142000,Little Nightmares Six Edition,$7.20*,https://www.gamestop.com/common/images/lbox/141911b.jpg,https://www.gamestop.com/trade/quote/games/142000
142001,Little Nightmares Six Edition,$7.20*,https://www.gamestop.com/common/images/lbox/141912b.jpg,https://www.gamestop.com/trade/quote/games/142001
142206,Portal Knights,$7.20*,https://www.gamestop.com/common/images/lbox/142241brp.jpg,https://www.gamestop.com/trade/quote/games/142206
142310,RBI Baseball 2017,$7.20*,https://www.gamestop.com/common/images/lbox/142421b.jpg,https://www.gamestop.com/trade/quote/games/142310
143118,Troll and I,$7.20*,https://www.gamestop.com/common/images/lbox/143304b.jpg,https://www.gamestop.com/trade/quote/games/143118
143653,The Surge,$7.20*,https://www.gamestop.com/common/images/lbox/144064b1.jpg,https://www.gamestop.com/trade/quote/games/143653
146541,Among the Sleep,$7.20*,https://www.gamestop.com/common/images/lbox/no_image_b.jpg,https://www.gamestop.com/trade/quote/games/146541
146542,Call of Duty MW and MW2 Coll,$7.20*,https://www.gamestop.com/common/images/lbox/no_image_b.jpg,https://www.gamestop.com/trade/quote/games/146542
147401,Warriors All-Stars,$7.20*,https://www.gamestop.com/common/images/lbox/146903b.jpg,https://www.gamestop.com/trade/quote/games/147401
148663,Elite Dangerous Legendary Edition,$7.20*,https://www.gamestop.com/common/images/lbox/148730b.jpg,https://www.gamestop.com/trade/quote/games/148663
148954,Dead Alliance,$7.20*,https://www.gamestop.com/common/images/lbox/149227b.jpg,https://www.gamestop.com/trade/quote/games/148954
149020,Yonder: The Cloud Catcher Chronicles,$7.20*,https://www.gamestop.com/common/images/lbox/149303b.jpg,https://www.gamestop.com/trade/quote/games/149020
149502,Mega Man Legacy Collection 2,$7.20*,https://www.gamestop.com/common/images/lbox/149923b.jpg,https://www.gamestop.com/trade/quote/games/149502
149956,XB One Elite Charge Stand,$7.20*,https://www.gamestop.com/common/images/lbox/no_image_b.jpg,https://www.gamestop.com/trade/quote/games/149956
150097,Deer Hunter Reloaded,$7.20*,https://www.gamestop.com/common/images/lbox/150777b.jpg,https://www.gamestop.com/trade/quote/games/150097
150266,Pillars of Eternity Complete Edition,$7.20*,https://www.gamestop.com/common/images/lbox/151042b.jpg,https://www.gamestop.com/trade/quote/games/150266
150267,Pillars of Eternity Complete Edition,$7.20*,https://www.gamestop.com/common/images/lbox/151043b.jpg,https://www.gamestop.com/trade/quote/games/150267
151121,Batman: The Enemy Within,$7.20*,https://www.gamestop.com/common/images/lbox/152701b.jpg,https://www.gamestop.com/trade/quote/games/151121
152407,Raiden V: Directors Cut Limited Edition,$7.20*,https://www.gamestop.com/common/images/lbox/154314b.jpg,https://www.gamestop.com/trade/quote/games/152407
152417,Real Farm,$7.20*,https://www.gamestop.com/common/images/lbox/154329b1.jpg,https://www.gamestop.com/trade/quote/games/152417
153014,Bad Apple Wars Day One Edition - Only at GameStop,$7.20*,https://www.gamestop.com/common/images/lbox/154839b.jpg,https://www.gamestop.com/trade/quote/games/153014
153490,Okami HD,$7.20*,https://www.gamestop.com/common/images/lbox/155446b.jpg,https://www.gamestop.com/trade/quote/games/153490
